ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2023,Instituto Federal do Paraná,26432,Ministério da Educação,26000,"573.292.399,40","543.444.163,48","489.760.291,28"
2023,Universidade Federal de Ouro Preto,26277,Ministério da Educação,26000,"535.098.247,75","516.728.902,23","471.714.679,41"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais",26409,Ministério da Educação,26000,"542.353.726,29","502.782.045,32","460.710.244,90"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",26433,Ministério da Educação,26000,"537.998.085,97","515.177.895,51","458.174.982,02"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense",26434,Ministério da Educação,26000,"540.797.456,52","507.150.791,73","457.676.484,56"
2023,Universidade Federal de Lavras,26263,Ministério da Educação,26000,"482.077.373,76","456.782.942,69","416.226.117,45"
2023,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,26256,Ministério da Educação,26000,"487.376.706,95","456.421.122,97","409.740.232,88"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Catarinense",26422,Ministério da Educação,26000,"478.608.695,01","455.408.235,76","409.456.431,74"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",26403,Ministério da Educação,26000,"498.036.576,01","455.853.698,10","409.345.394,63"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",26402,Ministério da Educação,26000,"473.067.882,86","441.828.799,68","401.912.102,52"
2023,Fundação Universidade Federal do Acre,26275,Ministério da Educação,26000,"442.792.676,68","426.565.594,82","395.320.901,30"
2023,Fundação Universidade Federal do Pampa,26266,Ministério da Educação,26000,"422.325.359,77","407.421.668,77","380.611.089,67"
2023,Fundação Universidade Federal de São João Del-Rei,26285,Ministério da Educação,26000,"414.424.922,48","405.901.775,13","370.055.406,60"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Baiano",26404,Ministério da Educação,26000,"434.254.594,68","400.120.471,68","367.783.326,19"
2023,Fundação Universidade Federal do Tocantins,26251,Ministério da Educação,26000,"437.318.851,63","395.370.140,46","365.935.083,33"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Goiano",26407,Ministério da Educação,26000,"426.109.664,17","399.434.980,58","365.789.143,78"
2023,Universidade Federal do Recôncavo da Bahia,26351,Ministério da Educação,26000,"422.266.975,26","401.738.845,32","360.880.736,78"
2023,Fundação Universidade Federal do ABC,26352,Ministério da Educação,26000,"421.189.611,72","387.301.873,32","357.326.278,12"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Farroupilha",26420,Ministério da Educação,26000,"396.328.821,13","378.020.679,65","344.524.770,17"
2023,Universidade Federal Rural do Semi-Árido,26264,Ministério da Educação,26000,"365.377.535,79","361.977.605,67","328.225.215,72"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais",26411,Ministério da Educação,26000,"379.609.504,10","351.195.051,86","322.370.434,48"
2023,Universidade Federal dos Vales do Jequitinhonha e Mucuri,26255,Ministério da Educação,26000,"361.447.800,19","340.372.982,97","308.407.556,43"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",26412,Ministério da Educação,26000,"381.040.120,79","335.302.900,90","307.749.102,70"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais",26410,Ministério da Educação,26000,"359.762.849,47","330.468.145,94","302.239.824,93"
2023,Universidade Federal da Fronteira Sul,26440,Ministério da Educação,26000,"351.852.107,56","329.896.306,38","298.199.943,28"
2023,Fundação Universidade Federal de Rondônia,26268,Ministério da Educação,26000,"365.445.050,39","328.349.470,98","298.140.889,82"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Sergipe",26423,Ministério da Educação,26000,"343.389.416,74","325.323.057,69","292.428.599,68"
2023,Fundação Universidade Federal da Grande Dourados,26350,Ministério da Educação,26000,"355.941.713,06","320.658.241,58","292.310.583,38"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Brasília",26428,Ministério da Educação,26000,"337.922.324,75","301.356.652,31","280.933.378,07"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Tocantins",26424,Ministério da Educação,26000,"313.840.073,39","298.359.379,34","269.636.537,13"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",26413,Ministério da Educação,26000,"314.413.242,31","293.018.391,06","266.925.685,91"
2023,Universidade Federal Rural da Amazônia,26253,Ministério da Educação,26000,"301.038.722,70","287.186.217,04","262.473.381,83"
2023,Universidade Federal de Alfenas,26260,Ministério da Educação,26000,"305.603.633,53","291.365.026,75","261.543.231,64"
2023,Universidade Federal de Roraima,26250,Ministério da Educação,26000,"298.592.985,57","275.093.317,18","254.539.020,40"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",26421,Ministério da Educação,26000,"325.135.634,61","297.781.284,36","253.027.467,60"
2023,Fundação Universidade Federal do Vale do São Francisco,26230,Ministério da Educação,26000,"299.910.863,04","278.353.555,80","251.661.978,47"
2023,Universidade Federal de Itajubá,26261,Ministério da Educação,26000,"287.220.736,18","270.562.528,98","245.331.829,04"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",26415,Ministério da Educação,26000,"280.657.132,65","261.515.039,31","236.180.014,89"
2023,Fundação Universidade Federal do Amapá,26286,Ministério da Educação,26000,"308.518.943,41","261.751.099,29","229.140.209,57"
2023,Universidade Federal do Oeste do Pará,26441,Ministério da Educação,26000,"252.907.003,08","238.163.149,57","217.985.138,05"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão de Pernambuco",26430,Ministério da Educação,26000,"250.858.769,65","233.438.645,18","212.091.187,57"
2023,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,26284,Ministério da Educação,26000,"208.436.084,20","194.556.182,79","178.697.816,23"
2023,Universidade Federal da Integração Latino-Americana,26267,Ministério da Educação,26000,"204.747.972,40","187.801.280,03","172.425.214,76"
2023,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,26442,Ministério da Educação,26000,"189.400.249,07","177.132.693,75","160.739.413,75"
2023,Universidade Federal do Sul e Sudeste do Pará,26448,Ministério da Educação,26000,"172.872.844,30","163.044.066,36","148.664.893,37"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Roraima",26437,Ministério da Educação,26000,"178.993.162,38","162.175.960,76","148.374.408,93"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Acre",26425,Ministério da Educação,26000,"166.302.376,27","150.459.401,72","136.290.336,10"
2023,Universidade Federal do Cariri,26449,Ministério da Educação,26000,"157.995.522,17","148.653.025,03","135.768.263,16"
2023,Universidade Federal do Sul da Bahia,26450,Ministério da Educação,26000,"146.780.995,01","134.089.208,38","121.161.927,47"
2023,Fundação Joaquim Nabuco,26292,Ministério da Educação,26000,"137.850.771,62","132.505.499,34","121.111.215,44"
2023,Universidade Federal do Oeste da Bahia,26447,Ministério da Educação,26000,"144.617.121,30","134.165.164,09","118.505.719,91"
2023,Universidade Federal de Jataí,26453,Ministério da Educação,26000,"128.670.399,15","126.507.074,55","117.932.715,54"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá",26426,Ministério da Educação,26000,"137.441.820,12","119.448.971,58","109.355.648,17"
2023,Universidade Federal de Catalão,26452,Ministério da Educação,26000,"126.912.565,25","118.694.666,62","107.818.368,96"
2023,Universidade Federal de Rondonópolis,26454,Ministério da Educação,26000,"113.712.444,34","108.462.115,04","97.376.010,49"
2023,Universidade Federal do Delta do Parnaíba,26455,Ministério da Educação,26000,"93.167.730,49","87.935.681,49","78.268.074,50"
2023,Universidade Federal do Agreste de Pernambuco,26456,Ministério da Educação,26000,"67.918.974,46","64.782.013,57","57.375.435,13"
2023,Universidade Federal do Norte do Tocantins,26457,Ministério da Educação,26000,"42.735.588,36","41.318.233,42","30.661.650,00"
