codigo,descricao
26298,Fundo Nacional de Desenvolvimento da Educação
26301,Centro Federal de Educação Tecnológica da Bahia
26302,Escola Agrotécnica Federal de Alegre
26303,Escola Agrotécnica Federal de Alegrete
26304,Escola Agrotécnica Federal de Araguatins
26305,Centro Federal de Educação Tecnológica de Bambuí
26306,Escola Agrotécnica Federal de Barbacena
26307,Escola Agrotécnica Federal de Barreiros
26308,Escola Agrotécnica Federal de Belo Jardim
26309,Centro Federal de Educação Tecnológica de Bento Gonçalves
26310,Escola Agrotécnica Federal de Cáceres
26311,Escola Agrotécnica Federal de Castanhal
26312,Escola Agrotécnica Federal de Catu
26313,Escola Agrotécnica Federal de Colatina
26314,Escola Agrotécnica Federal de Concórdia
26315,Escola Agrotécnica Federal de Crato
26316,Centro Federal de Educação Tecnológica de Cuiabá
26317,Escola Agrotécnica Federal de Iguatu
26318,Escola Agrotécnica Federal de Inconfidentes
26319,Centro Federal de Educação Tecnológica de Januária
26320,Escola Agrotécnica Federal de Machado
26321,Escola Agrotécnica Federal de Manaus
26322,Escola Agrotécnica Federal de Muzambinho
26323,Centro Federal de Educação Tecnológica de Petrolina
26324,Centro Federal de Educação Tecnológica de Rio Pomba
26325,Centro Federal de Educação Tecnológica de Rio Verde
26326,Escola Agrotécnica Federal de Salinas
26327,Escola Agrotécnica Federal de Santa Teresa
26328,Escola Agrotécnica Federal de São Cristóvão
26329,Escola Agrotécnica Federal de São João Evangelista
26330,Escola Agrotécnica Federal de São Luis
26331,Centro Federal de Educação Tecnológica de São Vicente do Sul
26332,Escola Agrotécnica Federal de Satuba
26333,Escola Agrotécnica Federal de Sertão
26334,Escola Agrotécnica Federal de Sousa
26335,Centro Federal de Educação Tecnológica de Uberaba
26336,Escola Agrotécnica Federal de Uberlândia
26337,Centro Federal de Educação Tecnológica de Urutaí
26338,Escola Agrotécnica Federal de Vitória de Santo Antão
26339,Escola Agrotécnica Federal de São Gabriel da Cachoeira
26340,Escola Agrotécnica Federal de Sombrio
26341,Escola Agrotécnica Federal de Ceres
26342,Escola Agrotécnica Federal de Colorado do Oeste
26343,Escola Agrotécnica Federal de Codó
26344,Escola Agrotécnica Federal Antônio José Teixeira
26345,Escola Agrotécnica Federal de Rio do Sul
26346,Escola Agrotécnica Federal de Santa Inês
26347,Escola Agrotécnica Federal do Senhor do Bonfim
26350,Fundação Universidade Federal da Grande Dourados
26351,Universidade Federal do Recôncavo da Bahia
26352,Fundação Universidade Federal do ABC
26353,Escola Técnica Federal do Acre
26354,Escola Técnica Federal do Amapá
26355,Escola Técnica Federal do Mato Grosso do Sul
26356,"Instituto Federal de Educação, Ciência e Tecnologia de Brasília"
26357,Escola Técnica Federal de Canoas
26358,CODIGO INVALIDO
26372,CODIGO INVALIDO
26378,CODIGO INVALIDO
26387,CODIGO INVALIDO
26401,CODIGO INVALIDO
26402,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas"
26403,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas"
26404,"Instituto Federal de Educação, Ciência e Tecnologia Baiano"
26405,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará"
26406,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo"
26407,"Instituto Federal de Educação, Ciência e Tecnologia Goiano"
26408,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
26409,"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais"
26410,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais"
26411,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais"
26412,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais"
26413,"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro"
26414,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso"
26415,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul"
26416,"Instituto Federal de Educação, Ciência e Tecnologia do Pará"
