ano,orgao,codigo_orgao,orgao_superior,codigo_orgao_superior,empenhado,liquidado,pago,taxa_execucao,taxa_pagamento
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas",26403,Ministério da Educação,26000,498036576.01,455853698.1,409345394.63,91.53,82.19
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas",26402,Ministério da Educação,26000,473067882.86,441828799.68,401912102.52,93.4,84.96
2023,Fundação Universidade Federal do Acre,26275,Ministério da Educação,26000,442792676.68,426565594.82,395320901.3,96.34,89.28
2023,Fundação Universidade Federal do Pampa,26266,Ministério da Educação,26000,422325359.77,407421668.77,380611089.67,96.47,90.12
2023,Fundação Universidade Federal de São João Del-Rei,26285,Ministério da Educação,26000,414424922.48,405901775.13,370055406.6,97.94,89.29
2023,"Instituto Federal de Educação, Ciência e Tecnologia Baiano",26404,Ministério da Educação,26000,434254594.68,400120471.68,367783326.19,92.14,84.69
2023,Fundação Universidade Federal do Tocantins,26251,Ministério da Educação,26000,437318851.63,395370140.46,365935083.33,90.41,83.68
2023,"Instituto Federal de Educação, Ciência e Tecnologia Goiano",26407,Ministério da Educação,26000,426109664.17,399434980.58,365789143.78,93.74,85.84
2023,Universidade Federal do Recôncavo da Bahia,26351,Ministério da Educação,26000,422266975.26,401738845.32,360880736.78,95.14,85.46
2023,Fundação Universidade Federal do ABC,26352,Ministério da Educação,26000,421189611.72,387301873.32,357326278.12,91.95,84.84
2023,"Instituto Federal de Educação, Ciência e Tecnologia Farroupilha",26420,Ministério da Educação,26000,396328821.13,378020679.65,344524770.17,95.38,86.93
2023,Universidade Federal Rural do Semi-Árido,26264,Ministério da Educação,26000,365377535.79,361977605.67,328225215.72,99.07,89.83
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais",26411,Ministério da Educação,26000,379609504.1,351195051.86,322370434.48,92.51,84.92
2023,Universidade Federal dos Vales do Jequitinhonha e Mucuri,26255,Ministério da Educação,26000,361447800.19,340372982.97,308407556.43,94.17,85.33
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais",26412,Ministério da Educação,26000,381040120.79,335302900.9,307749102.7,88.0,80.77
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais",26410,Ministério da Educação,26000,359762849.47,330468145.94,302239824.93,91.86,84.01
2023,Universidade Federal da Fronteira Sul,26440,Ministério da Educação,26000,351852107.56,329896306.38,298199943.28,93.76,84.75
2023,Fundação Universidade Federal de Rondônia,26268,Ministério da Educação,26000,365445050.39,328349470.98,298140889.82,89.85,81.58
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Sergipe",26423,Ministério da Educação,26000,343389416.74,325323057.69,292428599.68,94.74,85.16
2023,Fundação Universidade Federal da Grande Dourados,26350,Ministério da Educação,26000,355941713.06,320658241.58,292310583.38,90.09,82.12
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Brasília",26428,Ministério da Educação,26000,337922324.75,301356652.31,280933378.07,89.18,83.14
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Tocantins",26424,Ministério da Educação,26000,313840073.39,298359379.34,269636537.13,95.07,85.92
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro",26413,Ministério da Educação,26000,314413242.31,293018391.06,266925685.91,93.2,84.9
2023,Universidade Federal Rural da Amazônia,26253,Ministério da Educação,26000,301038722.7,287186217.04,262473381.83,95.4,87.19
2023,Universidade Federal de Alfenas,26260,Ministério da Educação,26000,305603633.53,291365026.75,261543231.64,95.34,85.58
2023,Universidade Federal de Roraima,26250,Ministério da Educação,26000,298592985.57,275093317.18,254539020.4,92.13,85.25
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia",26421,Ministério da Educação,26000,325135634.61,297781284.36,253027467.6,91.59,77.82
2023,Fundação Universidade Federal do Vale do São Francisco,26230,Ministério da Educação,26000,299910863.04,278353555.8,251661978.47,92.81,83.91
2023,Universidade Federal de Itajubá,26261,Ministério da Educação,26000,287220736.18,270562528.98,245331829.04,94.2,85.42
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso do Sul",26415,Ministério da Educação,26000,280657132.65,261515039.31,236180014.89,93.18,84.15
2023,Fundação Universidade Federal do Amapá,26286,Ministério da Educação,26000,308518943.41,261751099.29,229140209.57,84.84,74.27
2023,Universidade Federal do Oeste do Pará,26441,Ministério da Educação,26000,252907003.08,238163149.57,217985138.05,94.17,86.19
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão de Pernambuco",26430,Ministério da Educação,26000,250858769.65,233438645.18,212091187.57,93.06,84.55
2023,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,26284,Ministério da Educação,26000,208436084.2,194556182.79,178697816.23,93.34,85.73
2023,Universidade Federal da Integração Latino-Americana,26267,Ministério da Educação,26000,204747972.4,187801280.03,172425214.76,91.72,84.21
2023,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,26442,Ministério da Educação,26000,189400249.07,177132693.75,160739413.75,93.52,84.87
2023,Universidade Federal do Sul e Sudeste do Pará,26448,Ministério da Educação,26000,172872844.3,163044066.36,148664893.37,94.31,86.0
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Roraima",26437,Ministério da Educação,26000,178993162.38,162175960.76,148374408.93,90.6,82.89
